id,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
1,2011-12-30 23:04:44,muxmool,stillill143,1,0,0,"@stillillpdx Lolol. That's what's up mayn. Are those actual ""casual"" irl? Like, is it a relaxed mood and environment?",,@stillillpdx,,152887875007021056,https://twitter.com/muxmool/status/152887875007021056
2,2011-12-30 22:09:35,IllogicalGypsy,Yu_love_sum_Dee,1,0,0,"@Yu_love_sum_Dee video games , sports games , porn *if willing* , it's just filled w/ things to portray a ""manly environment""",,@Yu_love_sum_Dee,,152873996717797377,https://twitter.com/IllogicalGypsy/status/152873996717797377
3,2011-12-30 20:01:20,cynietra,,0,0,0,"I love changing my environment",,,,152841718931271680,https://twitter.com/cynietra/status/152841718931271680
4,2011-12-30 19:04:08,coreysimao,,1,1,0,"@nicole_j_lee in her natural environment pic.twitter.com/9H8sYXfv",,@nicole_j_lee,,152827323253669888,https://twitter.com/coreysimao/status/152827323253669888
5,2011-12-30 18:49:43,RMiller_20,,0,0,0,"Save the environment. Reuse toilet paper! #doingmypart",,,#doingmypart,152823699463081984,https://twitter.com/RMiller_20/status/152823699463081984
6,2011-12-30 17:28:25,ronniewalkerism,,0,0,0,"@umairh 1. try on others' proverbial shoes EVERY day 2. remember life is fleeting 3. bond with your environment/community",,@umairh,,152803236028489728,https://twitter.com/ronniewalkerism/status/152803236028489728
7,2011-12-30 17:13:03,Wanda_Woman17,kelgriffeyjr,0,0,0,"@retrofanatic85 yes at Anytime and I love it especially the environment",,@retrofanatic85,,152799369479979008,https://twitter.com/Wanda_Woman17/status/152799369479979008
8,2011-12-30 17:05:38,AimlessMovie,HayleeQuinnn,0,0,0,"@HayleeQuinnn react to your environment differently.. he who angers you conquers you... gotta develop a healthy self talk inside you..",,@HayleeQuinnn,,152797505812312065,https://twitter.com/AimlessMovie/status/152797505812312065
9,2011-12-30 17:04:27,JQMTC23,,0,0,0,"#FactAboutMe im a product o my environment I grew up in Hyde Park and South Loop judge me IDGAF I hang out with like minded people anyways.",,,#FactAboutMe,152797207916052480,https://twitter.com/JQMTC23/status/152797207916052480
10,2011-12-30 16:47:47,ChesapeakePile,,0,0,0,"More conservation easements to help the environment! http://ow.ly/1CXQFH """,,,,152793010181124096,https://twitter.com/ChesapeakePile/status/152793010181124096
11,2011-12-30 16:47:25,madisonjobsx,,0,0,0,"KITCHEN AIDE - PART TIME - Adecco - Elkhorn, WI: Nursing home environment assisting with food storage, pulling,... http://bit.ly/ubccFI",,,,152792920292986880,https://twitter.com/madisonjobsx/status/152792920292986880
12,2011-12-30 16:34:12,RJEquality,,0,0,0,"#ff Environment's number 7 enemy Congressman @boblatta & his opponent @angelazimmann. #oh05",,@boblatta @angelazimmann,#ff #oh05,152789592641253376,https://twitter.com/RJEquality/status/152789592641253376
13,2011-12-30 15:44:42,Detroitgem,,0,0,0,"Jihad presented itself in order to protect self and environment. It is not a formal part of the five pillars of Islam.",,,,152777137231904770,https://twitter.com/Detroitgem/status/152777137231904770
14,2011-12-30 15:06:06,newmusicmichael,amvanimere,0,0,0,"@amvanimere @raspberrie @nicolecreates which is why I said it's a combination. Family, friends, school, environment.",,@amvanimere @raspberrie @nicolecreates,,152767423085420544,https://twitter.com/newmusicmichael/status/152767423085420544
15,2011-12-30 13:34:10,GetEnviEngiJobs,,0,0,0,"Environment... - #Bellevue , WA (http://tinyurl.com/7xngkz4 ) Get Environmental Engineer Jobs #EnvironmentalEngineer #jobs #job #GetAllJobs",,,#Bellevue #EnvironmentalEngineer #jobs #job #GetAllJobs,152744288940326912,https://twitter.com/GetEnviEngiJobs/status/152744288940326912
16,2011-12-30 13:11:31,Taih_Fi_Amreca,shugairi,0,0,0,"@shugairi you know what.... ما اعتقد انه أنا مبدع حالياً في اي شي غير العمل و العمل & keep surviving in this unstable environment",,@shugairi,,152738585420890112,https://twitter.com/Taih_Fi_Amreca/status/152738585420890112
17,2011-12-30 13:09:32,Hellotaxi,,1,0,0,"Big oil will gladly expend American lives, pollute the environment and economically enslave the American public to keep the cash flow intact",,,,152738088064520192,https://twitter.com/Hellotaxi/status/152738088064520192
18,2011-12-30 07:38:38,stefrs,,0,0,0,"Federal judge defies precedent giving California leeway to protect it's fragile environment. http://nyti.ms/uMx2n7",,,,152654814659092480,https://twitter.com/stefrs/status/152654814659092480
19,2011-12-30 07:15:21,02346,,0,0,0,"Lakeville Woman of the Year: A devoted guardian of the environment http://bit.ly/st6Alg via http://outside.in/02346",,,,152648955749076992,https://twitter.com/02346/status/152648955749076992
20,2011-12-30 07:15:21,02347,,0,0,0,"Lakeville Woman of the Year: A devoted guardian of the environment http://bit.ly/sl66DZ via http://outside.in/02347",,,,152648955732303872,https://twitter.com/02347/status/152648955732303872
21,2011-12-30 06:56:21,topix_ma,,0,0,0,"Lakeville Woman of the Year: A devoted guardian of the environment - http://bit.ly/txAA2B #Lakeville #Massachusetts",,,#Lakeville #Massachusetts,152644173894385664,https://twitter.com/topix_ma/status/152644173894385664
22,2011-12-30 06:32:24,93001,,0,0,0,"Ventura student watches interest in environment take root http://bit.ly/vxV5aR via http://outside.in/93001",,,,152638145337368577,https://twitter.com/93001/status/152638145337368577
23,2011-12-30 06:08:45,BAZiegler,,0,0,0,"Great place. Tons of beer, nice staff, awesome environment. (@Brouwer's Café w/ 3 others) http://4sq.com/uVXLOp",,@Brouwer,,152632195448700928,https://twitter.com/BAZiegler/status/152632195448700928
24,2011-12-30 05:24:03,LifeNdTimesOfEb,,0,0,0,"Omw home from Hot Skates .. likee the environment ..",,,,152620942957346816,https://twitter.com/LifeNdTimesOfEb/status/152620942957346816
25,2011-12-30 04:52:25,IbrahimMalick,,1,0,0,"@d88pdive no you can't-beside #PakArmy #ISI mullahs in #Pakistan are also responsible for creating an environment not conducive for progress",,@d88pdive,#PakArmy #ISI #Pakistan,152612985205030914,https://twitter.com/IbrahimMalick/status/152612985205030914
26,2011-12-30 03:22:47,GetRetailJobs,,0,0,0,"Retail Environment Project Manager - Irvine - #Irvine , CA (http://tinyurl.com/cygjo4c ) Get Retail Jobs #Retail #jobs #job #GetAllJobs",,,#Irvine #Retail #jobs #job #GetAllJobs,152590426640093186,https://twitter.com/GetRetailJobs/status/152590426640093186
27,2011-12-30 02:32:18,93001,,0,0,0,"Ventura student teaching others to dig the environment http://bit.ly/vxV5aR via http://outside.in/93001",,,,152577722282024961,https://twitter.com/93001/status/152577722282024961
28,2011-12-30 02:08:08,topix_insight,,0,0,0,"Ventura student watches interest in environment take root - http://bit.ly/uezwgx #Ventura #California",,,#Ventura #California,152571640532836352,https://twitter.com/topix_insight/status/152571640532836352
29,2011-12-30 02:00:31,CEO_jeniusLogic,,0,0,0,"@1BluMagic <----this man here is a product of the environment he was built in. Struggle, survival and ambitions. #JustGottaMakeIt Period.",,@1BluMagic,#JustGottaMakeIt,152569724125978624,https://twitter.com/CEO_jeniusLogic/status/152569724125978624
30,2011-12-30 01:16:45,mikeyt6969,,0,0,0,"Does ur need for blaring music supersede everyone elses wants and needs for a quiet work environment? U R an ASSHOLE!",,,,152558709023834113,https://twitter.com/mikeyt6969/status/152558709023834113
31,2011-12-30 01:06:40,Anihcat1,,0,0,0,"Stop looking for friends in a cut-throat environment .",,,,152556172786929664,https://twitter.com/Anihcat1/status/152556172786929664
32,2011-12-30 00:45:50,arukun14,,0,0,0,"@CommanderRown Sometimes. No doubt Skyrim's got a load of inspiration. ;) I'll try to get environment studies up in the coming year.",,@CommanderRown,,152550928984186880,https://twitter.com/arukun14/status/152550928984186880
33,2011-12-30 00:38:22,jonadaskin,ianmcc,0,0,0,"@ianmcc I went to Hooters once when they first opened in Wpg, the food was brutal, the environment wasn't enough to want to return. #hooters",,@ianmcc,#hooters,152549050267348993,https://twitter.com/jonadaskin/status/152549050267348993
34,2011-12-29 23:36:16,mysdakotajobs,,0,0,0,"Job Lead: HOUSEKEEPER - Avera Health - Sioux Falls, SD: Responsible for maintaining a clean work environment in... http://bit.ly/t81BX8",,,,152533421581799425,https://twitter.com/mysdakotajobs/status/152533421581799425
35,2011-12-29 23:14:44,ehacke,,0,0,0,"Look. If I don't drink all this cream liqueur, it'll go bad. So really, I'm just trying to save the environment. ALL THE ENVIRONMENTS.",,,,152528004323610625,https://twitter.com/ehacke/status/152528004323610625
36,2011-12-29 21:21:23,IAmLivinLavish,,0,0,0,"“ @MentionMEHeaux: @IAmLivinLavish Lmao. What!?”<> ghetto environment ? Why are acting like you're better than us Phahahaha ! Like I care",,@MentionMEHeaux @IAmLivinLavish,,152499478836944896,https://twitter.com/IAmLivinLavish/status/152499478836944896
37,2011-12-29 21:16:23,IAmLivinLavish,,0,0,0,"“ @MentionMEHeaux: Ay. This my last weekend at home, whats going to be ""poppin"" Saturday in Lafayette !?!? (NO GHETTO ENVIRONMENT)”<> wtf",,@MentionMEHeaux,,152498221351051265,https://twitter.com/IAmLivinLavish/status/152498221351051265
38,2011-12-29 21:11:44,__CarelessLove,,0,0,0,"I'm bringing in the New Years in a new place, new environment. :)",,,,152497049886138368,https://twitter.com/__CarelessLove/status/152497049886138368
39,2011-12-29 20:05:43,isabelnoodle,,0,0,0,"Good food and good environment @Oby's http://instagr.am/p/criVL/",,@Oby,,152480436810027008,https://twitter.com/isabelnoodle/status/152480436810027008
40,2011-12-29 19:40:14,prithi,,0,0,0,"Advances in Computer Science, Environment, Ecoinformatics, and Education, Part III - CSEE 2011 http://on.tbhd.co.vu/12j1DJ",,,,152474023303979009,https://twitter.com/prithi/status/152474023303979009
41,2011-12-29 19:24:27,infecticide,CanadianProbz,0,0,0,"@CanadianProbz that's not a problem, that's saving the environment!",,@CanadianProbz,,152470052753518592,https://twitter.com/infecticide/status/152470052753518592
42,2011-12-29 18:52:34,JesusBCenter,,0,0,0,"Don't like the environment I'm in . It's ok can't stand the smell of smoke",,,,152462028437585920,https://twitter.com/JesusBCenter/status/152462028437585920
43,2011-12-29 18:43:33,MarciaMckay,,0,0,0,"Witnessing others grief, loss , distress in the workplace has lasting affects...changes your perspective on the environment as a whole....",,,,152459759067463680,https://twitter.com/MarciaMckay/status/152459759067463680
44,2011-12-29 18:32:59,ApesOfIron,,0,0,0,"""Born to hustle, I'm a product of environment"" tech n9ne",,,,152457100558213122,https://twitter.com/ApesOfIron/status/152457100558213122
45,2011-12-29 17:56:07,GetAnimalJobs,,0,0,0,"Telecommute Environment, Human Rights, Anim... - #Houston , TX (http://tinyurl.com/d8evczo ) Get Animal Jobs #Animal #jobs #job #GetAllJobs",,,#Houston #Animal #jobs #job #GetAllJobs,152447822598377472,https://twitter.com/GetAnimalJobs/status/152447822598377472
46,2011-12-29 17:47:50,mrs_puck,deauxboi80,0,0,0,"@deauxboi80 you know your a trendsetter. :) Thx, I am just needing FT & ready for a more hip environment. I am excited, less abt drive tho.",,@deauxboi80,,152445738171908096,https://twitter.com/mrs_puck/status/152445738171908096
47,2011-12-29 17:29:19,GetAnimalJobs,,0,0,0,"Telecommute Environment, Human Rights,... - #Brownsville , TX (http://tinyurl.com/d6xdqff ) Get Animal Jobs #Animal #jobs #job #GetAllJobs",,,#Brownsville #Animal #jobs #job #GetAllJobs,152441078417596416,https://twitter.com/GetAnimalJobs/status/152441078417596416
48,2011-12-29 17:00:33,jackienw,,0,0,0,"I'm at Colorado Department of Public Health & Environment (4300 S Cherry Creek Drive, Denver) http://4sq.com/vZwKco",,,,152433835013967873,https://twitter.com/jackienw/status/152433835013967873
49,2011-12-29 16:35:07,TheDon2108,,0,0,0,"Ladies walking with babies remember your actions is teaching the child how to respond to his or her environment,so be good.",,,,152427437827964929,https://twitter.com/TheDon2108/status/152427437827964929
50,2011-12-29 16:14:10,TheOriginalCG,,0,0,0,"@2Beautyfull ""Toyota Prius"" lines good for the environment.",,@2Beautyfull,,152422164040134658,https://twitter.com/TheOriginalCG/status/152422164040134658
51,2011-12-29 15:44:19,wolframrose,EveryVoice,0,0,0,"@publicampaign he is a 2 faced spineless unprincipled gutless turncoat son of a bitch he should do well in that environment",,@publicampaign,,152414651852922882,https://twitter.com/wolframrose/status/152414651852922882
